appid,app_type,app_class
2859,sys,z
4803,usr,a
18386,usr,g
2181,usr,k
14401,sys,z
16772,sys,z
16759,usr,f
13663,sys,z
13842,usr,g
8714,sys,z
16745,usr,g
14261,usr,g
13667,sys,z
3427,sys,z
18321,sys,z
20858,usr,a
21179,sys,z
15841,usr,g
2371,usr,t
3892,sys,z
9575,sys,z
776,usr,g
23608,usr,o
3309,usr,f
13043,sys,z
2820,usr,f
6597,usr,e
18000,usr,p
23310,sys,z
20011,usr,c
6192,sys,z
23547,usr,k
13613,usr,g
351,sys,z
17442,usr,e
17355,usr,d
6094,usr,z
16862,sys,z
10123,usr,h
8165,usr,c
18348,usr,s
8832,sys,z
22014,usr,g
14569,sys,z
3090,usr,t
185,usr,g
15000,usr,t
13162,sys,z
10857,usr,g
21140,usr,t
16061,usr,g
20124,sys,z
11088,sys,z
9507,sys,c
8207,usr,g
18504,usr,h
1400,usr,g
15445,usr,z
16095,usr,z
19085,sys,z
19728,sys,z
18771,usr,j
18024,usr,t
17440,usr,k
21776,usr,g
9630,usr,g
12309,usr,p
12033,usr,g
2203,sys,s
5205,usr,z
14539,usr,c
23304,usr,t
6841,usr,g
9098,usr,c
15321,usr,t
13528,sys,i
12264,usr,t
19799,usr,g
12803,usr,e
978,usr,j
6472,usr,h
20761,usr,h
4786,usr,t
23139,usr,c
1992,usr,c
5742,usr,q
4612,sys,z
23213,sys,z
464,usr,f
18535,usr,h
678,usr,n
1723,sys,z
19989,usr,c
20046,usr,g
3277,usr,j
23410,usr,p
1591,usr,c
18786,usr,p
15682,usr,q
6071,usr,g
6747,sys,g
21699,usr,z
422,sys,z
2004,usr,c
17049,sys,z
21551,usr,a
17142,usr,a
802,usr,z
12739,usr,t
2980,usr,h
10686,sys,z
12241,usr,z
21538,usr,j
20171,usr,n
8647,sys,z
2292,usr,q
3596,sys,z
6118,usr,n
12291,usr,a
8646,usr,n
16429,usr,n
8913,sys,z
21989,usr,e
1907,usr,i
14486,sys,z
17596,usr,b
19895,usr,b
20113,usr,p
11717,usr,g
14663,sys,z
13936,usr,t
20720,sys,z
21526,usr,z
949,usr,i
2446,usr,z
20368,usr,i
3621,usr,z
3875,sys,z
10072,sys,n
2548,sys,z
14367,usr,j
22425,usr,j
22369,usr,h
21362,usr,t
22509,usr,k
15030,usr,a
18521,usr,t
16014,usr,z
7828,sys,z
12243,usr,g
21880,sys,g
6764,usr,q
22445,usr,e
14877,usr,p
18671,usr,z
21459,usr,q
23253,usr,g
11200,usr,t
18422,usr,d
16319,usr,k
2635,sys,z
15751,usr,z
5657,usr,g
18375,usr,b
6074,usr,h
16363,usr,d
3962,usr,g
12325,usr,c
9498,usr,h
9003,sys,z
4774,usr,t
20878,usr,n
16494,usr,c
5799,usr,p
12341,usr,f
15761,usr,g
21976,usr,g
16078,sys,z
20315,usr,t
17030,usr,t
18808,sys,z
12221,usr,f
13758,usr,f
18927,usr,t
14407,usr,g
467,sys,z
6367,sys,z
22017,usr,q
15942,sys,z
11540,usr,t
18167,usr,z
22416,usr,z
7974,usr,t
9112,sys,z
4039,usr,j
14504,usr,g
7523,usr,z
20427,usr,z
20505,usr,z
16143,usr,z
15820,usr,z
6592,usr,z
19805,usr,z
