uid,duration,one_day_use_duration,up_flow,down_flow,up_and_down_flow,flow_pers_avg,start_time_stamp,end_time_stamp,mid_time_stamp,count,count_day_column,use_situation
0000B0540F08BB99C22D22219A1B47A2,0.39,0.0024684585847504,0.41,0.41,0.06,0.01,0.79,0.79,0.79,0.0,0.15,True
00022474E06735ACCAC428E1AC7EAC16,0.63,0.0781130005485463,0.38,0.38,0.0,0.0,0.64,0.64,0.64,0.01,0.45,True
00028CD7D203AF88C4FE4D0A83A0016E,0.55,0.0134393856280855,0.38,0.38,0.0,0.0,0.49,0.49,0.49,0.0,0.05,True
00046AA87AAF8C9971F99597ED7D90DF,0.5,0.1168403730115194,0.39,0.43,0.06,0.0,0.61,0.61,0.61,0.04,0.4,True
0005BB047145A248C3878E7E516A093D,0.42,0.0189248491497531,0.39,0.5,0.11,0.03,0.63,0.63,0.63,0.01,0.15,True
0006506ECE84442A678FC8592E4C3EB4,0.54,0.0131651124520021,0.38,0.38,0.0,0.0,0.84,0.84,0.84,0.0,0.0,False
0009514C53AB4B46CB54D47C48747559,0.43,0.0049369171695008,0.38,0.38,0.0,0.0,0.67,0.67,0.67,0.0,0.05,True
000BAAE919BA2557AC8AD58A7276AA3A,0.37,0.0056226001097092,0.41,0.4,0.05,0.04,0.87,0.87,0.87,0.01,0.15,True
000BAC3E23007010346E79B1ED5D25E2,0.4,0.0173706344852806,0.38,0.38,0.0,0.0,0.69,0.69,0.69,0.02,0.1,True
00133AFC39ACF35799E8956D183D6417,0.53,0.0233132199670872,0.38,0.38,0.0,0.0,0.34,0.34,0.34,0.0,0.05,True
0015AE689CD28553CB5FD29E394C7D11,0.44,0.010312671420735,0.38,0.41,0.03,0.02,0.61,0.61,0.61,0.0,0.2,True
00162AF5828E9DC44292C8AC9CF82D85,0.48,0.0274273176083379,0.41,0.41,0.06,0.0,0.64,0.64,0.64,0.01,0.0,True
0017D171EFC2913399F93B6201505426,0.51,0.0283249389118835,0.38,0.38,0.0,0.0,0.33,0.33,0.33,0.01,0.5,False
0018590FBC9209FB7A3F1E1469486289,0.88,0.0373011519473395,0.38,0.38,0.0,0.0,0.05,0.05,0.05,0.0,0.0,False
0019635328242787E9F55F0A69653921,0.38,0.0038398244651673,0.38,0.38,0.0,0.0,0.82,0.82,0.82,0.0,0.0,True
001A7AE4375E43D5ED4FD247FD9C0577,0.36,0.0010970927043335,0.38,0.38,0.0,0.0,0.32,0.32,0.32,0.0,0.0,False
0024D5C6AE3A14A6E58C13CF558F04AA,0.41,0.0032912781130005,0.38,0.38,0.0,0.0,0.56,0.56,0.56,0.0,0.0,True
002A2B5D60C0854968191F12DFD0A222,0.41,0.016236972024136,0.4,0.44,0.08,0.01,0.57,0.57,0.57,0.01,0.2,True
002A50758A427F6EDCD09DF7AA3FA673,0.54,0.0696653867251782,0.38,0.38,0.0,0.0,0.67,0.67,0.67,0.02,0.15,True
002B3F0E736F9FC7F098178055DA0E4F,0.47,0.0323642347778387,0.38,0.4,0.02,0.0,0.89,0.89,0.89,0.01,0.0,True
0036CD1D41364E716E264801B7BBD2CA,0.36,0.0,0.38,0.38,0.0,0.0,0.77,0.77,0.77,0.0,0.0,True
003945EF1BE2D66EE801A2F09DDF702C,0.48,0.0134393856280855,0.39,0.45,0.06,0.0,0.62,0.62,0.62,0.0,0.05,True
003A8891295BA3EA3A92E0F4B8F9CE42,0.49,0.1497139722592273,0.38,0.38,0.0,0.0,0.59,0.59,0.59,0.05,0.65,True
003D41F053AAD6E04B2DB740C855E044,0.38,0.0013713658804168,0.67,0.65,0.47,0.17,0.8,0.8,0.8,0.0,0.05,True
003FB8AD3313F63709B406E6EE821EE0,0.64,0.0285244103126714,0.38,0.38,0.0,0.0,0.61,0.61,0.61,0.0,0.05,True
004249BC1C5012600580B641795C749B,0.41,0.00703967818614,0.43,0.41,0.08,0.01,0.7,0.7,0.7,0.0,0.25,True
004347B5DA8327084ACBBF3EF1FAE907,0.45,0.006582556226001,0.38,0.38,0.0,0.0,0.8,0.8,0.8,0.0,0.05,True
00454FBA1FA7C6FE0920F9430999CCB2,0.39,0.002194185408667,0.38,0.38,0.0,0.0,0.53,0.53,0.53,0.0,0.0,True
004564EE01486EF9311157E481BFBEFE,0.42,0.0050283415615286,0.55,0.56,0.3,0.18,0.77,0.77,0.77,0.0,0.25,True
00461BBFCA78688089EFBCBC4103DA79,0.48,0.0087767416346681,0.38,0.38,0.0,0.0,0.48,0.48,0.48,0.0,0.0,True
0049B0699AA4C960F1CE4F3A14D11A4A,0.97,0.0438837081733406,0.38,0.38,0.0,0.0,0.37,0.38,0.37,0.0,0.0,False
004A9B299275EB655EA48734EA3098D8,0.38,0.0010970927043335,0.39,0.51,0.11,0.03,0.54,0.54,0.54,0.0,0.1,True
0050DD840233290B13B42F5A3A1D433E,0.4,0.0027427317608337,0.38,0.38,0.0,0.0,0.72,0.72,0.72,0.0,0.0,True
005BA677F7E36E52709C3C78F22A7856,0.45,0.0068568294020844,0.47,0.66,0.3,0.03,0.8,0.8,0.8,0.0,0.05,True
005CBDDBB52E8280568F6C9553C13C59,0.51,0.0294157981349424,0.39,0.45,0.07,0.0,0.44,0.44,0.44,0.01,0.35,True
005E4EB81B3DC17977801EDBD8C673EC,0.39,0.0034741268970561,0.39,0.45,0.07,0.01,0.67,0.67,0.67,0.0,0.1,True
0061FF8DC7B67EF645987A0E268C6B3C,0.49,0.0198260324425985,0.53,0.52,0.24,0.02,0.68,0.68,0.68,0.0,0.3,True
0066E0D6FBF340A22549F79FF4D79BE9,0.61,0.0204790638142256,0.38,0.4,0.03,0.0,0.86,0.86,0.86,0.0,0.25,True
0068BE0D51FEF87BA6C735002E1A194A,0.41,0.0032912781130005,0.92,0.77,0.78,0.12,0.89,0.89,0.89,0.0,0.0,True
0069210D40C20B093FA45D96773426AF,0.38,0.0049369171695008,0.38,0.38,0.0,0.0,0.65,0.65,0.65,0.01,0.0,True
006EA7CDAAD40090C71C91C4FD87C1C6,0.59,0.0228560980069482,0.39,0.49,0.11,0.06,0.59,0.59,0.59,0.0,0.1,True
0075DAF817BEE8AB06C59BC68AC16482,0.45,0.0107880782592795,0.39,0.51,0.12,0.01,0.61,0.61,0.61,0.0,0.1,True
007D99E3D7BA93DE387B8D551455C0BD,0.52,0.0131651124520021,0.43,0.46,0.11,0.01,0.59,0.59,0.59,0.0,0.1,True
008A2337FF6E5AEBD492E9C999A919CD,0.45,0.022490400438837,0.38,0.38,0.0,0.0,0.74,0.74,0.74,0.01,0.05,True
008D13432807EAB3FA65215890BF90F3,0.5,0.0102852441031267,0.63,0.57,0.37,0.2,0.79,0.79,0.79,0.0,0.15,True
00924DFAB8383434114306B43EBD15D4,0.49,0.0093252879868348,0.38,0.38,0.0,0.0,0.59,0.59,0.59,0.0,0.05,False
00928A00E9C0AFFC5208A93936B647DE,0.44,0.0093252879868348,0.38,0.38,0.0,0.0,0.59,0.59,0.59,0.0,0.05,True
00944CA4A42B882AB88E5353C3671D62,0.76,0.0586944596818431,0.38,0.38,0.0,0.0,0.79,0.79,0.79,0.0,0.0,True
009497332169FC7EF522CB26F06758D5,0.47,0.0165935271530444,0.38,0.38,0.0,0.0,0.6,0.6,0.6,0.0,0.15,True
0097084261EE335B0381F7FB637F7D66,0.37,0.0005485463521667,0.38,0.38,0.0,0.0,0.28,0.28,0.28,0.0,0.0,False
0099345F8EB4043A3C776D081C9F4DC2,0.47,0.0164563905650027,0.39,0.45,0.07,0.04,0.45,0.45,0.45,0.0,0.0,False
009C186EDF28BF6ABF6952F7CB412FA8,0.53,0.0797743123579656,0.41,0.44,0.08,0.02,0.67,0.67,0.67,0.03,0.3,True
00A6999BFB9CBF0619DA034F4CE638A3,0.48,0.0625342841470104,0.38,0.38,0.0,0.0,0.49,0.49,0.49,0.03,0.0,True
00A9EF5F1B749A4AE5221C0BA11AA054,0.59,0.0465350155421466,0.38,0.38,0.0,0.0,0.58,0.58,0.58,0.01,0.25,True
00B4C99D7E6DFE2CCE43A716E0977265,0.41,0.0107515085024684,0.41,0.42,0.07,0.02,0.61,0.61,0.61,0.0,0.45,True
00B6CDAEBF9AF8391506D61662645D52,0.57,0.0149478880965441,0.38,0.38,0.0,0.0,0.66,0.66,0.66,0.0,0.15,True
00B902FB5B6EBBB261A605504A73E046,0.37,0.0005485463521667,0.38,0.38,0.0,0.0,0.69,0.69,0.69,0.0,0.0,True
