uid,duration,one_day_use_duration,up_flow,down_flow,up_and_down_flow,flow_pers_avg,start_time_stamp,end_time_stamp,mid_time_stamp,count,count_day_column,duration_everyday
0000B0540F08BB99C22D22219A1B47A2,0.39,0.0024684585847504,0.41,0.41,0.06,0.01,0.79,0.79,0.79,0.0,0.15,1309
00022474E06735ACCAC428E1AC7EAC16,0.63,0.0781130005485463,0.38,0.38,0.0,0.0,0.64,0.64,0.64,0.01,0.45,664
00028CD7D203AF88C4FE4D0A83A0016E,0.55,0.0134393856280855,0.38,0.38,0.0,0.0,0.49,0.49,0.49,0.0,0.05,164
00046AA87AAF8C9971F99597ED7D90DF,0.5,0.1168403730115194,0.39,0.43,0.06,0.0,0.61,0.61,0.61,0.04,0.4,1857
0005BB047145A248C3878E7E516A093D,0.42,0.0189248491497531,0.39,0.5,0.11,0.03,0.63,0.63,0.63,0.01,0.15,1049
0006506ECE84442A678FC8592E4C3EB4,0.54,0.0131651124520021,0.38,0.38,0.0,0.0,0.84,0.84,0.84,0.0,0.0,0
0009514C53AB4B46CB54D47C48747559,0.43,0.0049369171695008,0.38,0.38,0.0,0.0,0.67,0.67,0.67,0.0,0.05,10
000BAAE919BA2557AC8AD58A7276AA3A,0.37,0.0056226001097092,0.41,0.4,0.05,0.04,0.87,0.87,0.87,0.01,0.15,346
000BAC3E23007010346E79B1ED5D25E2,0.4,0.0173706344852806,0.38,0.38,0.0,0.0,0.69,0.69,0.69,0.02,0.1,795
00133AFC39ACF35799E8956D183D6417,0.53,0.0233132199670872,0.38,0.38,0.0,0.0,0.34,0.34,0.34,0.0,0.05,44
0015AE689CD28553CB5FD29E394C7D11,0.44,0.010312671420735,0.38,0.41,0.03,0.02,0.61,0.61,0.61,0.0,0.2,447
00162AF5828E9DC44292C8AC9CF82D85,0.48,0.0274273176083379,0.41,0.41,0.06,0.0,0.64,0.64,0.64,0.01,0.0,1004
0017D171EFC2913399F93B6201505426,0.51,0.0283249389118835,0.38,0.38,0.0,0.0,0.33,0.33,0.33,0.01,0.5,0
0018590FBC9209FB7A3F1E1469486289,0.88,0.0373011519473395,0.38,0.38,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0
0019635328242787E9F55F0A69653921,0.38,0.0038398244651673,0.38,0.38,0.0,0.0,0.82,0.82,0.82,0.0,0.0,8
001A7AE4375E43D5ED4FD247FD9C0577,0.36,0.0010970927043335,0.38,0.38,0.0,0.0,0.32,0.32,0.32,0.0,0.0,0
0024D5C6AE3A14A6E58C13CF558F04AA,0.41,0.0032912781130005,0.38,0.38,0.0,0.0,0.56,0.56,0.56,0.0,0.0,619
002A2B5D60C0854968191F12DFD0A222,0.41,0.016236972024136,0.4,0.44,0.08,0.01,0.57,0.57,0.57,0.01,0.2,37
002A50758A427F6EDCD09DF7AA3FA673,0.54,0.0696653867251782,0.38,0.38,0.0,0.0,0.67,0.67,0.67,0.02,0.15,2182
002B3F0E736F9FC7F098178055DA0E4F,0.47,0.0323642347778387,0.38,0.4,0.02,0.0,0.89,0.89,0.89,0.01,0.0,66
0036CD1D41364E716E264801B7BBD2CA,0.36,0.0,0.38,0.38,0.0,0.0,0.77,0.77,0.77,0.0,0.0,67
003945EF1BE2D66EE801A2F09DDF702C,0.48,0.0134393856280855,0.39,0.45,0.06,0.0,0.62,0.62,0.62,0.0,0.05,1070
003A8891295BA3EA3A92E0F4B8F9CE42,0.49,0.1497139722592273,0.38,0.38,0.0,0.0,0.59,0.59,0.59,0.05,0.65,1156
003D41F053AAD6E04B2DB740C855E044,0.38,0.0013713658804168,0.67,0.65,0.47,0.17,0.8,0.8,0.8,0.0,0.05,772
003FB8AD3313F63709B406E6EE821EE0,0.64,0.0285244103126714,0.38,0.38,0.0,0.0,0.61,0.61,0.61,0.0,0.05,1258
004249BC1C5012600580B641795C749B,0.41,0.00703967818614,0.43,0.41,0.08,0.01,0.7,0.7,0.7,0.0,0.25,609
004347B5DA8327084ACBBF3EF1FAE907,0.45,0.006582556226001,0.38,0.38,0.0,0.0,0.8,0.8,0.8,0.0,0.05,296
00454FBA1FA7C6FE0920F9430999CCB2,0.39,0.002194185408667,0.38,0.38,0.0,0.0,0.53,0.53,0.53,0.0,0.0,8
004564EE01486EF9311157E481BFBEFE,0.42,0.0050283415615286,0.55,0.56,0.3,0.18,0.77,0.77,0.77,0.0,0.25,300
00461BBFCA78688089EFBCBC4103DA79,0.48,0.0087767416346681,0.38,0.38,0.0,0.0,0.48,0.48,0.48,0.0,0.0,151
0049B0699AA4C960F1CE4F3A14D11A4A,0.97,0.0438837081733406,0.38,0.38,0.0,0.0,0.37,0.38,0.37,0.0,0.0,0
004A9B299275EB655EA48734EA3098D8,0.38,0.0010970927043335,0.39,0.51,0.11,0.03,0.54,0.54,0.54,0.0,0.1,2677
0050DD840233290B13B42F5A3A1D433E,0.4,0.0027427317608337,0.38,0.38,0.0,0.0,0.72,0.72,0.72,0.0,0.0,992
005BA677F7E36E52709C3C78F22A7856,0.45,0.0068568294020844,0.47,0.66,0.3,0.03,0.8,0.8,0.8,0.0,0.05,226
005CBDDBB52E8280568F6C9553C13C59,0.51,0.0294157981349424,0.39,0.45,0.07,0.0,0.44,0.44,0.44,0.01,0.35,2113
005E4EB81B3DC17977801EDBD8C673EC,0.39,0.0034741268970561,0.39,0.45,0.07,0.01,0.67,0.67,0.67,0.0,0.1,1048
0061FF8DC7B67EF645987A0E268C6B3C,0.49,0.0198260324425985,0.53,0.52,0.24,0.02,0.68,0.68,0.68,0.0,0.3,1698
0066E0D6FBF340A22549F79FF4D79BE9,0.61,0.0204790638142256,0.38,0.4,0.03,0.0,0.86,0.86,0.86,0.0,0.25,939
0068BE0D51FEF87BA6C735002E1A194A,0.41,0.0032912781130005,0.92,0.77,0.78,0.12,0.89,0.89,0.89,0.0,0.0,26
0069210D40C20B093FA45D96773426AF,0.38,0.0049369171695008,0.38,0.38,0.0,0.0,0.65,0.65,0.65,0.01,0.0,10
006EA7CDAAD40090C71C91C4FD87C1C6,0.59,0.0228560980069482,0.39,0.49,0.11,0.06,0.59,0.59,0.59,0.0,0.1,798
0075DAF817BEE8AB06C59BC68AC16482,0.45,0.0107880782592795,0.39,0.51,0.12,0.01,0.61,0.61,0.61,0.0,0.1,409
007D99E3D7BA93DE387B8D551455C0BD,0.52,0.0131651124520021,0.43,0.46,0.11,0.01,0.59,0.59,0.59,0.0,0.1,614
008A2337FF6E5AEBD492E9C999A919CD,0.45,0.022490400438837,0.38,0.38,0.0,0.0,0.74,0.74,0.74,0.01,0.05,474
008D13432807EAB3FA65215890BF90F3,0.5,0.0102852441031267,0.63,0.57,0.37,0.2,0.79,0.79,0.79,0.0,0.15,127
00924DFAB8383434114306B43EBD15D4,0.49,0.0093252879868348,0.38,0.38,0.0,0.0,0.59,0.59,0.59,0.0,0.05,0
00928A00E9C0AFFC5208A93936B647DE,0.44,0.0093252879868348,0.38,0.38,0.0,0.0,0.59,0.59,0.59,0.0,0.05,22
00944CA4A42B882AB88E5353C3671D62,0.76,0.0586944596818431,0.38,0.38,0.0,0.0,0.79,0.79,0.79,0.0,0.0,718
009497332169FC7EF522CB26F06758D5,0.47,0.0165935271530444,0.38,0.38,0.0,0.0,0.6,0.6,0.6,0.0,0.15,24
0097084261EE335B0381F7FB637F7D66,0.37,0.0005485463521667,0.38,0.38,0.0,0.0,0.28,0.28,0.28,0.0,0.0,0
0099345F8EB4043A3C776D081C9F4DC2,0.47,0.0164563905650027,0.39,0.45,0.07,0.04,0.45,0.45,0.45,0.0,0.0,0
009C186EDF28BF6ABF6952F7CB412FA8,0.53,0.0797743123579656,0.41,0.44,0.08,0.02,0.67,0.67,0.67,0.03,0.3,60
00A6999BFB9CBF0619DA034F4CE638A3,0.48,0.0625342841470104,0.38,0.38,0.0,0.0,0.49,0.49,0.49,0.03,0.0,1744
00A9EF5F1B749A4AE5221C0BA11AA054,0.59,0.0465350155421466,0.38,0.38,0.0,0.0,0.58,0.58,0.58,0.01,0.25,1969
00B4C99D7E6DFE2CCE43A716E0977265,0.41,0.0107515085024684,0.41,0.42,0.07,0.02,0.61,0.61,0.61,0.0,0.45,1905
00B6CDAEBF9AF8391506D61662645D52,0.57,0.0149478880965441,0.38,0.38,0.0,0.0,0.66,0.66,0.66,0.0,0.15,40
00B902FB5B6EBBB261A605504A73E046,0.37,0.0005485463521667,0.38,0.38,0.0,0.0,0.69,0.69,0.69,0.0,0.0,116
00C2CAF21F3289F45165757829BCD7A1,0.37,0.0005485463521667,0.63,0.52,0.33,0.18,0.82,0.82,0.82,0.0,0.0,326
00C342A378B88309ACA5EC9443CCC899,0.45,0.006582556226001,0.38,0.38,0.0,0.0,0.83,0.84,0.83,0.0,0.0,13
00C4E637EBD72E560B972449F6D20F56,0.44,0.0246845858475041,0.38,0.38,0.0,0.0,0.81,0.81,0.81,0.01,0.0,0
00C54DAA44849D280B3A132075326FE7,0.4,0.006582556226001,0.38,0.38,0.0,0.0,0.25,0.25,0.25,0.0,0.05,62
00C5702F74541D668D146BA62B9764A1,0.38,0.0010970927043335,0.41,0.41,0.05,0.02,0.36,0.36,0.36,0.0,0.0,3
00C930CB5B5976DC83C82B394351967D,0.56,0.0646187602852441,0.38,0.38,0.0,0.0,0.75,0.75,0.75,0.01,0.2,499
00CBAFA2A877C42936A2C504C86C34B4,0.46,0.0102852441031267,0.39,0.47,0.09,0.01,0.47,0.47,0.47,0.0,0.15,1166
00CDE45693BF62724B1D41D4D903E5DB,0.54,0.0131651124520021,0.38,0.38,0.0,0.0,0.27,0.27,0.27,0.0,0.05,24
00D09B72D2FA36247ADB4F7C5AF7CB73,0.45,0.024884057248292,0.38,0.38,0.0,0.0,0.62,0.62,0.62,0.01,0.5,1566
00D773F668B867FF2FABB1E3E4F07D04,0.52,0.0129300211582164,0.38,0.38,0.0,0.0,0.85,0.85,0.85,0.0,0.3,432
00DD96AA4A840227C7BFB136BEE52FED,0.55,0.042128359846407,0.38,0.38,0.0,0.0,0.65,0.65,0.65,0.01,0.2,537
00DEDF34A03E67D9E324B7C0067A9158,0.62,0.0249588590235874,0.43,0.43,0.09,0.03,0.36,0.36,0.36,0.0,0.15,630
